2025-10-29 16:38:50.913 | INFO     | main:main:22 | List of Buckets: %s
2025-10-29 16:38:50.915 | INFO     | main:main:31 | CSV files list: ['Customers.csv']
2025-10-29 16:38:50.916 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-29 16:38:50.924 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-29 16:38:50.925 | INFO     | main:main:44 | Query unprocessed file: %s
2025-10-29 16:38:50.925 | INFO     | main:main:46 | data in file: []
2025-10-29 16:38:50.925 | INFO     | main:main:51 | No records in ['Customers.csv']
2025-10-29 16:38:50.926 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-29 16:38:50.929 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-29 16:38:50.930 | INFO     | mysql_crud_operations:get_bucket_details:21 | Fetched 1 active bucket(s) for environment: dev
2025-10-29 16:38:50.930 | INFO     | main:main:62 | Bucket details: %s
2025-10-29 16:38:50.930 | INFO     | main:main:71 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
2025-10-29 16:38:52.115 | INFO     | aws_read:list_files:11 | Total files available in folder '%s' of bucket '%s': %s
2025-10-29 16:38:52.116 | INFO     | main:main:82 | Absolute path on s3 bucket for csv file %s 
2025-10-29 16:38:52.116 | WARNING  | main:main:85 | No files available at sales_data/
2025-10-29 16:38:52.116 | INFO     | mysql_session:disconnect:32 | 🔌 MySQL connection closed.
2025-10-29 16:45:53.292 | INFO     | main:main:22 | List of Buckets: %s
2025-10-29 16:45:53.293 | INFO     | main:main:31 | CSV files list: ['Customers.csv']
2025-10-29 16:45:53.295 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-29 16:45:53.304 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-29 16:45:53.305 | INFO     | main:main:44 | Query unprocessed file: %s
2025-10-29 16:45:53.305 | INFO     | main:main:46 | data in file: []
2025-10-29 16:45:53.305 | INFO     | main:main:51 | No records in ['Customers.csv']
2025-10-29 16:45:53.306 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-29 16:45:53.309 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-29 16:45:53.309 | INFO     | mysql_crud_operations:get_bucket_details:21 | Fetched 1 active bucket(s) for environment: dev
2025-10-29 16:45:53.309 | INFO     | main:main:62 | Bucket details: %s
2025-10-29 16:45:53.309 | INFO     | main:main:71 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
2025-10-29 16:45:54.493 | INFO     | aws_read:list_files:11 | Total files available in folder '%s' of bucket '%s': %s
2025-10-29 16:45:54.493 | INFO     | main:main:82 | Absolute path on s3 bucket for csv file %s 
2025-10-29 16:45:54.493 | WARNING  | main:main:85 | No files available at sales_data/
2025-10-29 16:45:54.495 | INFO     | mysql_session:disconnect:32 | 🔌 MySQL connection closed.
2025-10-29 16:46:51.428 | INFO     | main:main:22 | List of Buckets: %s
2025-10-29 16:46:51.429 | INFO     | main:main:31 | CSV files list: ['Customers.csv']
2025-10-29 16:46:51.432 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-29 16:46:51.440 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-29 16:46:51.440 | INFO     | main:main:44 | Query unprocessed file: %s
2025-10-29 16:46:51.440 | INFO     | main:main:46 | data in file: []
