2025-10-30 18:13:12.406 | INFO     | spark_session:spark_session:14 | spark session <pyspark.sql.session.SparkSession object at 0x000001FEE519DBE0>
2025-10-30 18:13:12.407 | INFO     | main2:<module>:114 | Spark Session Created
2025-10-30 18:13:12.493 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-30 18:13:12.502 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-30 18:13:12.503 | INFO     | mysql_crud_operations:get_bucket_details:21 | Fetched 1 active bucket(s) for environment: dev
2025-10-30 18:13:12.503 | INFO     | main2:main:38 | Bucket details: [{'bucket_name': 'relmart-sales-project', 'folder_path': 'sales_data/'}]
2025-10-30 18:13:12.503 | INFO     | main2:main:48 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
2025-10-30 18:13:13.721 | INFO     | aws_read:list_files:18 | Looking for Files in relmart-sales-project/sales_data/
2025-10-30 18:13:13.721 | INFO     | main2:main:63 | List of absolute file paths for CSVs found on S3 bucket: ['s3://relmart-sales-project/sales_data/2025_10_30/Customers.csv', 's3://relmart-sales-project/sales_data/2025_10_30/Working_Employees.csv']
2025-10-30 18:13:13.724 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-30 18:13:13.728 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-30 18:13:13.729 | INFO     | main2:main:85 | data in file: []
2025-10-30 18:13:13.729 | INFO     | mysql_session:disconnect:32 | 🔌 MySQL connection closed.
2025-10-30 18:13:19.510 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-30 18:13:19.519 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-30 18:13:19.519 | INFO     | mysql_crud_operations:get_bucket_details:21 | Fetched 1 active bucket(s) for environment: dev
2025-10-30 18:13:19.519 | INFO     | main2:main:38 | Bucket details: [{'bucket_name': 'relmart-sales-project', 'folder_path': 'sales_data/'}]
2025-10-30 18:13:19.519 | INFO     | main2:main:48 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
2025-10-30 18:13:20.619 | INFO     | aws_read:list_files:18 | Looking for Files in relmart-sales-project/sales_data/
2025-10-30 18:13:20.619 | INFO     | main2:main:63 | List of absolute file paths for CSVs found on S3 bucket: ['s3://relmart-sales-project/sales_data/2025_10_30/Customers.csv', 's3://relmart-sales-project/sales_data/2025_10_30/Working_Employees.csv']
2025-10-30 18:13:20.622 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-30 18:13:20.628 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-30 18:13:20.629 | INFO     | main2:main:85 | data in file: []
2025-10-30 18:13:20.629 | INFO     | mysql_session:disconnect:32 | 🔌 MySQL connection closed.
2025-10-30 18:32:20.476 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-30 18:32:20.485 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-30 18:32:20.485 | INFO     | mysql_crud_operations:get_bucket_details:21 | Fetched 1 active bucket(s) for environment: dev
2025-10-30 18:32:20.485 | INFO     | main2:main:45 | Bucket details: [{'bucket_name': 'relmart-sales-project', 'folder_path': 'sales_data/'}]
2025-10-30 18:32:20.485 | INFO     | main2:main:55 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
2025-10-30 18:32:21.653 | INFO     | aws_read:list_files:18 | Looking for Files in relmart-sales-project/sales_data/
2025-10-30 18:32:21.653 | INFO     | main2:main:70 | List of absolute file paths for CSVs found on S3 bucket: ['s3://relmart-sales-project/sales_data/2025_10_30/Customers.csv', 's3://relmart-sales-project/sales_data/2025_10_30/Working_Employees.csv']
2025-10-30 18:32:21.655 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-30 18:32:21.659 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-30 18:32:21.660 | INFO     | main2:main:102 | No records in ['Customers.csv', 'Working_Employees.csv']
2025-10-30 18:32:30.063 | INFO     | spark_session:spark_session:14 | spark session <pyspark.sql.session.SparkSession object at 0x000001E5AD4712B0>
2025-10-30 18:32:30.063 | INFO     | main2:main:107 | Spark Session Created
2025-10-30 18:32:30.064 | INFO     | mysql_session:disconnect:32 | 🔌 MySQL connection closed.
2025-10-30 18:34:07.333 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-10-30 18:34:07.341 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-10-30 18:34:07.342 | INFO     | mysql_crud_operations:get_bucket_details:21 | Fetched 1 active bucket(s) for environment: dev
