2025-11-02 22:14:09.238 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-11-02 22:14:09.248 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-11-02 22:14:09.249 | INFO     | read_s3_metadata:get_bucket_details:20 | Fetched 1 active sources for environment: dev
2025-11-02 22:14:09.249 | INFO     | main:main:60 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
2025-11-02 22:14:10.235 | INFO     | aws_read:list_files:18 | Looking for Files in relmart-sales-project/sales_data/
2025-11-02 22:14:10.239 | INFO     | main:main:103 | No records in ['messy_sales_data.csv', 'sales_data.csv']
2025-11-02 22:14:18.910 | INFO     | spark_session:spark_session:27 | Spark session created
2025-11-02 22:14:18.910 | INFO     | main:main:120 | Running loop for Abs Path: ['s3://relmart-sales-project/sales_data/2025_11_02/messy_sales_data.csv', 's3://relmart-sales-project/sales_data/2025_11_02/sales_data.csv']
2025-11-02 22:14:27.458 | INFO     | main:main:128 | Original DataFrame:
2025-11-02 22:14:28.248 | INFO     | main:main:142 | Expected data columns: {'customer_name', 'store_id', 'total_cost', 'sales_person_name', 'product_id', 'sales_date', 'quantity', 'price', 'product_name', 'customer_id', 'sales_person_id', 'customer_address'}
2025-11-02 22:14:28.248 | INFO     | main:main:143 | Actual data columns: {'customer_name', 'total_cost', 'store_id', 'sales_person_name', 'discount_code', 'region', 'quantity', 'sales_date', 'price', 'product_name', 'customer_id', 'sales_person_id', 'customer_address'}
2025-11-02 22:14:28.248 | INFO     | main:main:144 | Required data columns: {'store_id', 'total_cost', 'sales_date', 'quantity', 'price', 'product_name', 'customer_id', 'sales_person_id'}
2025-11-02 22:14:28.261 | INFO     | main:main:180 | Dataframe after adding missing columns:
2025-11-02 22:14:34.970 | INFO     | main:main:128 | Original DataFrame:
2025-11-02 22:14:35.714 | INFO     | main:main:142 | Expected data columns: {'customer_name', 'store_id', 'total_cost', 'sales_person_name', 'product_id', 'sales_date', 'quantity', 'price', 'product_name', 'customer_id', 'sales_person_id', 'customer_address'}
2025-11-02 22:14:35.715 | INFO     | main:main:143 | Actual data columns: {'payment_method', 'store_id', 'total_cost', 'sales_person_name', 'discount_code', 'region', 'sales_date', 'quantity', 'price', 'product_name', 'customer_id', 'sales_person_id'}
2025-11-02 22:14:35.715 | INFO     | main:main:144 | Required data columns: {'store_id', 'total_cost', 'sales_date', 'quantity', 'price', 'product_name', 'customer_id', 'sales_person_id'}
2025-11-02 22:14:35.733 | INFO     | main:main:180 | Dataframe after adding missing columns:
2025-11-02 22:14:37.093 | INFO     | mysql_session:disconnect:32 | 🔌 MySQL connection closed.
2025-11-02 22:15:50.165 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-11-02 22:15:50.175 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-11-02 22:15:50.176 | INFO     | read_s3_metadata:get_bucket_details:20 | Fetched 1 active sources for environment: dev
2025-11-02 22:15:50.176 | INFO     | main:main:60 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
2025-11-02 22:15:51.169 | INFO     | aws_read:list_files:18 | Looking for Files in relmart-sales-project/sales_data/
2025-11-02 22:15:51.171 | INFO     | main:main:103 | No records in ['sales_data.csv']
2025-11-02 22:15:59.745 | INFO     | spark_session:spark_session:27 | Spark session created
2025-11-02 22:15:59.745 | INFO     | main:main:120 | Running loop for Abs Path: ['s3://relmart-sales-project/sales_data/2025_11_02/sales_data.csv']
2025-11-02 22:16:08.575 | INFO     | main:main:128 | Original DataFrame:
2025-11-02 22:16:09.445 | INFO     | main:main:142 | Expected data columns: {'sales_person_name', 'sales_person_id', 'store_id', 'sales_date', 'price', 'total_cost', 'customer_address', 'quantity', 'customer_id', 'product_name', 'product_id', 'customer_name'}
2025-11-02 22:16:09.445 | INFO     | main:main:143 | Actual data columns: {'sales_person_name', 'sales_person_id', 'store_id', 'sales_date', 'price', 'total_cost', 'quantity', 'customer_id', 'region', 'product_name', 'payment_method', 'discount_code'}
2025-11-02 22:16:09.445 | INFO     | main:main:144 | Required data columns: {'sales_person_id', 'store_id', 'sales_date', 'price', 'total_cost', 'quantity', 'customer_id', 'product_name'}
2025-11-02 22:16:09.470 | INFO     | main:main:180 | Dataframe after adding missing columns:
2025-11-02 22:16:10.841 | INFO     | mysql_session:disconnect:32 | 🔌 MySQL connection closed.
2025-11-02 22:17:13.509 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-11-02 22:17:13.518 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-11-02 22:17:13.519 | INFO     | read_s3_metadata:get_bucket_details:20 | Fetched 1 active sources for environment: dev
2025-11-02 22:17:13.519 | INFO     | main:main:60 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
2025-11-02 22:17:14.552 | INFO     | aws_read:list_files:18 | Looking for Files in relmart-sales-project/sales_data/
2025-11-02 22:17:14.553 | INFO     | main:main:103 | No records in ['sales_data.csv']
2025-11-02 22:17:16.784 | INFO     | mysql_session:disconnect:32 | 🔌 MySQL connection closed.
2025-11-02 22:17:46.679 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-11-02 22:17:46.689 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-11-02 22:17:46.689 | INFO     | read_s3_metadata:get_bucket_details:20 | Fetched 1 active sources for environment: dev
2025-11-02 22:17:46.689 | INFO     | main:main:60 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
2025-11-02 22:17:47.679 | INFO     | aws_read:list_files:18 | Looking for Files in relmart-sales-project/sales_data/
2025-11-02 22:17:47.681 | INFO     | main:main:103 | No records in ['sales_data.csv']
2025-11-02 22:17:56.270 | INFO     | spark_session:spark_session:27 | Spark session created
2025-11-02 22:17:56.270 | INFO     | main:main:120 | Running loop for Abs Path: ['s3://relmart-sales-project/sales_data/2025_11_02/sales_data.csv']
2025-11-02 22:18:04.971 | INFO     | main:main:128 | Original DataFrame:
2025-11-02 22:18:05.778 | INFO     | main:main:142 | Expected data columns: {'sales_person_id', 'customer_address', 'price', 'quantity', 'sales_date', 'total_cost', 'customer_id', 'store_id', 'sales_person_name', 'product_id', 'product_name', 'customer_name'}
2025-11-02 22:18:05.778 | INFO     | main:main:143 | Actual data columns: {'sales_person_id', 'price', 'discount_code', 'quantity', 'sales_date', 'total_cost', 'customer_id', 'store_id', 'sales_person_name', 'product_name', 'region', 'payment_method'}
2025-11-02 22:18:05.778 | INFO     | main:main:144 | Required data columns: {'sales_person_id', 'price', 'quantity', 'sales_date', 'total_cost', 'customer_id', 'store_id', 'product_name'}
2025-11-02 22:18:05.800 | INFO     | main:main:180 | Dataframe after adding missing columns:
2025-11-02 22:18:08.589 | INFO     | mysql_session:disconnect:32 | 🔌 MySQL connection closed.
2025-11-02 22:19:16.660 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-11-02 22:19:16.670 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-11-02 22:19:16.670 | INFO     | read_s3_metadata:get_bucket_details:20 | Fetched 1 active sources for environment: dev
2025-11-02 22:19:16.671 | INFO     | main:main:60 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
2025-11-02 22:19:17.713 | INFO     | aws_read:list_files:18 | Looking for Files in relmart-sales-project/sales_data/
2025-11-02 22:19:17.714 | INFO     | main:main:103 | No records in ['sales_data.csv']
2025-11-02 22:19:26.295 | INFO     | spark_session:spark_session:27 | Spark session created
2025-11-02 22:19:26.295 | INFO     | main:main:120 | Running loop for Abs Path: ['s3://relmart-sales-project/sales_data/2025_11_02/sales_data.csv']
2025-11-02 22:19:34.870 | INFO     | main:main:128 | Original DataFrame:
2025-11-02 22:19:35.723 | INFO     | main:main:142 | Expected data columns: {'product_id', 'sales_person_name', 'customer_id', 'customer_address', 'sales_date', 'total_cost', 'price', 'customer_name', 'product_name', 'quantity', 'sales_person_id', 'store_id'}
2025-11-02 22:19:35.724 | INFO     | main:main:143 | Actual data columns: {'sales_person_name', 'customer_id', 'payment_method', 'sales_date', 'total_cost', 'price', 'product_name', 'region', 'quantity', 'sales_person_id', 'store_id', 'discount_code'}
2025-11-02 22:19:35.724 | INFO     | main:main:144 | Required data columns: {'customer_id', 'sales_date', 'total_cost', 'price', 'product_name', 'quantity', 'sales_person_id', 'store_id'}
2025-11-02 22:19:35.745 | INFO     | main:main:180 | Dataframe after adding missing columns:
2025-11-02 22:19:38.481 | INFO     | mysql_session:disconnect:32 | 🔌 MySQL connection closed.
2025-11-02 22:22:28.557 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-11-02 22:22:28.568 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-11-02 22:22:28.568 | INFO     | read_s3_metadata:get_bucket_details:20 | Fetched 1 active sources for environment: dev
2025-11-02 22:22:28.569 | INFO     | main:main:60 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
2025-11-02 22:22:29.634 | INFO     | aws_read:list_files:18 | Looking for Files in relmart-sales-project/sales_data/
2025-11-02 22:22:29.636 | INFO     | main:main:103 | No records in ['sales_data.csv']
2025-11-02 22:22:38.348 | INFO     | spark_session:spark_session:27 | Spark session created
2025-11-02 22:22:38.348 | INFO     | main:main:120 | Running loop for Abs Path: ['s3://relmart-sales-project/sales_data/2025_11_02/sales_data.csv']
2025-11-02 22:22:46.975 | INFO     | main:main:128 | Original DataFrame:
2025-11-02 22:22:47.794 | INFO     | main:main:142 | Expected data columns: {'customer_id', 'store_id', 'sales_person_name', 'price', 'product_name', 'sales_person_id', 'sales_date', 'product_id', 'quantity', 'total_cost', 'customer_name', 'customer_address'}
2025-11-02 22:22:47.794 | INFO     | main:main:143 | Actual data columns: {'customer_id', 'store_id', 'sales_person_name', 'discount_code', 'price', 'sales_person_id', 'sales_date', 'quantity', 'total_cost', 'payment_method', 'product_name', 'region'}
2025-11-02 22:22:47.794 | INFO     | main:main:144 | Required data columns: {'customer_id', 'store_id', 'price', 'sales_person_id', 'sales_date', 'quantity', 'total_cost', 'product_name'}
2025-11-02 22:22:47.818 | INFO     | main:main:180 | Dataframe after adding missing columns:
2025-11-02 22:22:50.536 | ERROR    | main:main:223 | DataType mismatch for customer_id column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 22:22:50.537 | ERROR    | main:main:223 | DataType mismatch for customer_name column in ['sales_data.csv'] : Expected: string vs Actual: void
2025-11-02 22:22:50.550 | ERROR    | main:main:223 | DataType mismatch for customer_address column in ['sales_data.csv'] : Expected: string vs Actual: void
2025-11-02 22:22:50.558 | ERROR    | main:main:223 | DataType mismatch for store_id column in ['sales_data.csv'] : Expected: string vs Actual: int
2025-11-02 22:22:50.567 | ERROR    | main:main:223 | DataType mismatch for sales_person_id column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 22:22:50.567 | ERROR    | main:main:223 | DataType mismatch for product_id column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 22:22:50.567 | ERROR    | main:main:223 | DataType mismatch for sales_date column in ['sales_data.csv'] : Expected: date vs Actual: string
2025-11-02 22:22:50.578 | ERROR    | main:main:223 | DataType mismatch for price column in ['sales_data.csv'] : Expected: double vs Actual: int
2025-11-02 22:22:50.585 | ERROR    | main:main:223 | DataType mismatch for quantity column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 22:22:50.585 | ERROR    | main:main:223 | DataType mismatch for total_cost column in ['sales_data.csv'] : Expected: double vs Actual: int
2025-11-02 22:22:50.592 | INFO     | main:main:229 | Enforcing Correct DataType...
2025-11-02 22:22:50.593 | INFO     | mysql_session:disconnect:32 | 🔌 MySQL connection closed.
2025-11-02 22:55:00.207 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-11-02 22:55:00.217 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-11-02 22:55:00.218 | INFO     | read_s3_metadata:get_bucket_details:20 | Fetched 1 active sources for environment: dev
2025-11-02 22:55:00.218 | INFO     | main:main:60 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
2025-11-02 22:55:01.218 | INFO     | aws_read:list_files:18 | Looking for Files in relmart-sales-project/sales_data/
2025-11-02 22:55:01.220 | INFO     | main:main:103 | No records in ['sales_data.csv']
2025-11-02 22:55:09.883 | INFO     | spark_session:spark_session:27 | Spark session created
2025-11-02 22:55:09.883 | INFO     | main:main:120 | Running loop for Abs Path: ['s3://relmart-sales-project/sales_data/2025_11_02/sales_data.csv']
2025-11-02 22:55:18.549 | INFO     | main:main:142 | Expected data columns: {'sales_person_name', 'sales_date', 'customer_id', 'customer_address', 'store_id', 'price', 'quantity', 'product_name', 'customer_name', 'sales_person_id', 'product_id', 'total_cost'}
2025-11-02 22:55:18.549 | INFO     | main:main:143 | Actual data columns: {'region', 'sales_person_name', 'sales_date', 'customer_id', 'store_id', 'quantity', 'price', 'discount_code', 'product_name', 'sales_person_id', 'total_cost', 'payment_method'}
2025-11-02 22:55:18.549 | INFO     | main:main:144 | Required data columns: {'sales_date', 'customer_id', 'store_id', 'quantity', 'price', 'product_name', 'sales_person_id', 'total_cost'}
2025-11-02 22:55:18.579 | INFO     | main:main:180 | Missing columns added
2025-11-02 22:55:19.374 | ERROR    | main:main:224 | DataType mismatch for customer_id column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 22:55:19.374 | ERROR    | main:main:224 | DataType mismatch for customer_name column in ['sales_data.csv'] : Expected: string vs Actual: void
2025-11-02 22:55:19.389 | ERROR    | main:main:224 | DataType mismatch for customer_address column in ['sales_data.csv'] : Expected: string vs Actual: void
2025-11-02 22:55:19.399 | ERROR    | main:main:224 | DataType mismatch for store_id column in ['sales_data.csv'] : Expected: string vs Actual: int
2025-11-02 22:55:19.409 | ERROR    | main:main:224 | DataType mismatch for sales_person_id column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 22:55:19.409 | ERROR    | main:main:224 | DataType mismatch for product_id column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 22:55:19.409 | ERROR    | main:main:224 | DataType mismatch for sales_date column in ['sales_data.csv'] : Expected: date vs Actual: string
2025-11-02 22:55:19.422 | ERROR    | main:main:224 | DataType mismatch for price column in ['sales_data.csv'] : Expected: double vs Actual: int
2025-11-02 22:55:19.432 | ERROR    | main:main:224 | DataType mismatch for quantity column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 22:55:19.432 | ERROR    | main:main:224 | DataType mismatch for total_cost column in ['sales_data.csv'] : Expected: double vs Actual: int
2025-11-02 22:55:19.440 | INFO     | main:main:230 | Enforcing Correct DataType...
2025-11-02 22:55:20.794 | INFO     | mysql_session:disconnect:32 | 🔌 MySQL connection closed.
2025-11-02 23:04:40.302 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-11-02 23:04:40.312 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-11-02 23:04:40.313 | INFO     | read_s3_metadata:get_bucket_details:20 | Fetched 1 active sources for environment: dev
2025-11-02 23:04:40.313 | INFO     | main:main:60 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
2025-11-02 23:04:42.300 | INFO     | aws_read:list_files:18 | Looking for Files in relmart-sales-project/sales_data/
2025-11-02 23:04:42.302 | INFO     | main:main:103 | No records in ['sales_data.csv']
2025-11-02 23:04:50.866 | INFO     | spark_session:spark_session:27 | Spark session created
2025-11-02 23:04:50.866 | INFO     | main:main:120 | Running loop for Abs Path: ['s3://relmart-sales-project/sales_data/2025_11_02/sales_data.csv']
2025-11-02 23:04:59.678 | ERROR    | main:main:245 | Job failed, exited with error: 'DataframeOperation' object has no attribute 'make_dict'
2025-11-02 23:04:59.679 | INFO     | mysql_session:disconnect:32 | 🔌 MySQL connection closed.
2025-11-02 23:06:14.111 | INFO     | mysql_session:get_mysql_connection:16 | Connecting to mysql database...
2025-11-02 23:06:14.120 | INFO     | mysql_session:get_mysql_connection:23 | Connection with mysql established.
2025-11-02 23:06:14.120 | INFO     | read_s3_metadata:get_bucket_details:20 | Fetched 1 active sources for environment: dev
2025-11-02 23:06:14.121 | INFO     | main:main:60 | Processing S3 bucket: relmart-sales-project, folder: sales_data/
2025-11-02 23:06:15.099 | INFO     | aws_read:list_files:18 | Looking for Files in relmart-sales-project/sales_data/
2025-11-02 23:06:15.101 | INFO     | main:main:103 | No records in ['sales_data.csv']
2025-11-02 23:06:23.636 | INFO     | spark_session:spark_session:27 | Spark session created
2025-11-02 23:06:23.636 | INFO     | main:main:120 | Running loop for Abs Path: ['s3://relmart-sales-project/sales_data/2025_11_02/sales_data.csv']
2025-11-02 23:06:32.658 | INFO     | main:main:142 | Expected data columns: {'price', 'sales_person_name', 'sales_date', 'product_id', 'customer_name', 'product_name', 'customer_id', 'customer_address', 'sales_person_id', 'total_cost', 'quantity', 'store_id'}
2025-11-02 23:06:32.659 | INFO     | main:main:143 | Actual data columns: {'price', 'sales_person_name', 'sales_date', 'payment_method', 'region', 'product_name', 'discount_code', 'customer_id', 'sales_person_id', 'total_cost', 'quantity', 'store_id'}
2025-11-02 23:06:32.659 | INFO     | main:main:144 | Required data columns: {'price', 'sales_date', 'product_name', 'customer_id', 'sales_person_id', 'total_cost', 'quantity', 'store_id'}
2025-11-02 23:06:32.684 | INFO     | main:main:180 | Missing columns added
2025-11-02 23:06:33.537 | ERROR    | main:main:224 | DataType mismatch for customer_id column in ['sales_data.csv'] : Expected: integer vs Actual: int
2025-11-02 23:06:33.538 | ERROR    | main:main:224 | DataType mismatch for customer_name column in ['sales_data.csv'] : Expected: string vs Actual: void
